run,data_type,model,score,method
9,mnar,xgbregressor_no_impute,1176925.323089108,synthpop
9,mnar,xgbregressor,1175809.547009373,synthpop
9,mnar,randomforestregressor,1061883.9265081114,synthpop
9,mnar,lasso,1030023.9674671976,synthpop
9,mnar,ridge,1020190.5645395505,synthpop
9,mnar,kneighborsregressor,1005299.5782826128,synthpop
9,mnar,svr,1393969.8384504097,synthpop
0,real,xgbregressor_no_impute,1169923.8699801548,synthesizer
0,real,xgbregressor,1153246.9324392567,synthesizer
0,real,randomforestregressor,1221520.0336751656,synthesizer
0,real,lasso,1028751.462898204,synthesizer
0,real,ridge,1015829.0444519904,synthesizer
0,real,kneighborsregressor,1147196.5032111576,synthesizer
0,real,svr,1704246.8187293368,synthesizer
0,mar,xgbregressor_no_impute,1054577.8524700615,synthesizer
0,mar,xgbregressor,1073759.5043460012,synthesizer
0,mar,randomforestregressor,1125148.5370186158,synthesizer
0,mar,lasso,1016828.5962648892,synthesizer
0,mar,ridge,1013808.104131478,synthesizer
0,mar,kneighborsregressor,1139814.274436223,synthesizer
0,mar,svr,1764128.073587013,synthesizer
0,mnar,xgbregressor_no_impute,1063317.2861849326,synthesizer
0,mnar,xgbregressor,1042960.1554911794,synthesizer
0,mnar,randomforestregressor,1153985.4843559775,synthesizer
0,mnar,lasso,1047583.3030441146,synthesizer
0,mnar,ridge,1039898.3992497209,synthesizer
0,mnar,kneighborsregressor,1172228.552050923,synthesizer
0,mnar,svr,1569816.011907016,synthesizer
1,real,xgbregressor_no_impute,1184100.1706543455,synthesizer
1,real,xgbregressor,1130288.298369647,synthesizer
1,real,randomforestregressor,1257623.0069985837,synthesizer
1,real,lasso,1056528.822409197,synthesizer
1,real,ridge,1055358.9396435514,synthesizer
1,real,kneighborsregressor,1160037.3144191727,synthesizer
1,real,svr,1534960.9488094111,synthesizer
1,mar,xgbregressor_no_impute,1054375.3737669494,synthesizer
1,mar,xgbregressor,1097265.4477983662,synthesizer
1,mar,randomforestregressor,1110517.621011236,synthesizer
1,mar,lasso,1142703.2536567803,synthesizer
1,mar,ridge,1140369.241862667,synthesizer
1,mar,kneighborsregressor,1097581.353355199,synthesizer
1,mar,svr,1488089.9693268624,synthesizer
1,mnar,xgbregressor_no_impute,1090649.4749869767,synthesizer
1,mnar,xgbregressor,1163826.143562762,synthesizer
1,mnar,randomforestregressor,1163301.1763651576,synthesizer
1,mnar,lasso,1049502.3691521653,synthesizer
1,mnar,ridge,1041596.5315012352,synthesizer
1,mnar,kneighborsregressor,1061615.9727980478,synthesizer
1,mnar,svr,1645795.153207881,synthesizer
2,real,xgbregressor_no_impute,1195757.1560307853,synthesizer
2,real,xgbregressor,1248916.8588754523,synthesizer
2,real,randomforestregressor,1145442.96026162,synthesizer
2,real,lasso,1098552.2563862216,synthesizer
2,real,ridge,1095752.9381801807,synthesizer
2,real,kneighborsregressor,1336177.0015604498,synthesizer
2,real,svr,1812126.0632306575,synthesizer
2,mar,xgbregressor_no_impute,1227294.952410462,synthesizer
2,mar,xgbregressor,1309779.2866045025,synthesizer
2,mar,randomforestregressor,1250129.7444088117,synthesizer
2,mar,lasso,1236486.1499336204,synthesizer
2,mar,ridge,1233111.865983753,synthesizer
2,mar,kneighborsregressor,1336884.8459812556,synthesizer
2,mar,svr,1904453.6528710085,synthesizer
2,mnar,xgbregressor_no_impute,1207576.7342139566,synthesizer
2,mnar,xgbregressor,1270411.298883367,synthesizer
2,mnar,randomforestregressor,1148987.2201215143,synthesizer
2,mnar,lasso,1224135.659936883,synthesizer
2,mnar,ridge,1223423.751100876,synthesizer
2,mnar,kneighborsregressor,1348345.0098480398,synthesizer
2,mnar,svr,1942924.40586069,synthesizer
3,real,xgbregressor_no_impute,1449436.727574737,synthesizer
3,real,xgbregressor,1495815.2319283749,synthesizer
3,real,randomforestregressor,1308892.5866581996,synthesizer
3,real,lasso,1174318.7133984691,synthesizer
3,real,ridge,1169472.093192526,synthesizer
3,real,kneighborsregressor,1409166.136912369,synthesizer
3,real,svr,2157791.6188394204,synthesizer
3,mar,xgbregressor_no_impute,1345652.9429908849,synthesizer
3,mar,xgbregressor,1332274.2453225208,synthesizer
3,mar,randomforestregressor,1366508.295344729,synthesizer
3,mar,lasso,1254012.5136075534,synthesizer
3,mar,ridge,1251677.37630057,synthesizer
3,mar,kneighborsregressor,1424299.009630767,synthesizer
3,mar,svr,2042122.4655829123,synthesizer
